Sample_file	Sample_short	Group1
ERR3003621.collapsed.65mer.bracken	Radcliffe-CS09	Dental_calculus_human_18-19th_c.
ERR3003622.collapsed.65mer.bracken	Radcliffe-CS10	Dental_calculus_human_18-19th_c.
ERR3003623.collapsed.65mer.bracken	Radcliffe-CS11	Dental_calculus_human_18-19th_c.
ERR3003624.collapsed.65mer.bracken	Radcliffe-CS12	Dental_calculus_human_18-19th_c.
ERR3003625.collapsed.65mer.bracken	Radcliffe-CS13	Dental_calculus_human_18-19th_c.
ERR3003626.collapsed.65mer.bracken	Radcliffe-CS14	Dental_calculus_human_18-19th_c.
ERR3003627.collapsed.65mer.bracken	Radcliffe-CS15	Dental_calculus_human_18-19th_c.
ERR3003628.collapsed.65mer.bracken	Radcliffe-CS16	Dental_calculus_human_18-19th_c.
ERR3003629.collapsed.65mer.bracken	Radcliffe-CS17	Dental_calculus_human_18-19th_c.
ERR3003630.collapsed.65mer.bracken	Radcliffe-CS18	Dental_calculus_human_18-19th_c.
ERR3003631.collapsed.65mer.bracken	Radcliffe-CS19	Dental_calculus_human_18-19th_c.
ERR3003632.collapsed.65mer.bracken	Radcliffe-CS20	Dental_calculus_human_18-19th_c.
ERR3003633.collapsed.65mer.bracken	Radcliffe-CS21	Dental_calculus_human_18-19th_c.
ERR3003634.collapsed.65mer.bracken	Radcliffe-CS22	Dental_calculus_human_18-19th_c.
ERR3003635.collapsed.65mer.bracken	Radcliffe-CS23	Dental_calculus_human_18-19th_c.
ERR3003636.collapsed.65mer.bracken	Radcliffe-CS24	Dental_calculus_human_18-19th_c.
ERR3003637.collapsed.65mer.bracken	Radcliffe-CS25	Dental_calculus_human_18-19th_c.
ERR3003638.collapsed.65mer.bracken	Radcliffe-CS26	Dental_calculus_human_18-19th_c.
ERR3003639.collapsed.65mer.bracken	Radcliffe-CS27	Dental_calculus_human_18-19th_c.
ERR3003640.collapsed.65mer.bracken	Radcliffe-CS28	Dental_calculus_human_18-19th_c.
ERR3003641.collapsed.65mer.bracken	Radcliffe-CS29	Dental_calculus_human_18-19th_c.
ERR3003642.collapsed.65mer.bracken	Radcliffe-CS30	Dental_calculus_human_18-19th_c.
ERR3003643.collapsed.65mer.bracken	Radcliffe-CS31	Dental_calculus_human_18-19th_c.
ERR3003644.collapsed.65mer.bracken	Radcliffe-CS32	Dental_calculus_human_18-19th_c.
ERR3003645.collapsed.65mer.bracken	Radcliffe-CS33	Dental_calculus_human_18-19th_c.
ERR3003646.collapsed.65mer.bracken	Radcliffe-CS34	Dental_calculus_human_18-19th_c.
ERR3003647.collapsed.65mer.bracken	Radcliffe-CS35	Dental_calculus_human_18-19th_c.
ERR3003648.collapsed.65mer.bracken	Radcliffe-CS36	Dental_calculus_human_18-19th_c.
ERR3003649.collapsed.65mer.bracken	Radcliffe-CS37	Dental_calculus_human_18-19th_c.
ERR3003650.collapsed.65mer.bracken	Radcliffe-CS38	Dental_calculus_human_18-19th_c.
ERR3003651.collapsed.65mer.bracken	Radcliffe-CS39	Dental_calculus_human_18-19th_c.
ERR3003652.collapsed.65mer.bracken	Radcliffe-CS40	Dental_calculus_human_18-19th_c.
ERR3003653.collapsed.65mer.bracken	Radcliffe-CS41	Dental_calculus_human_18-19th_c.
ERR3003654.collapsed.65mer.bracken	Radcliffe-CS42	Dental_calculus_human_18-19th_c.
ERR3003655.collapsed.65mer.bracken	Radcliffe-CS43	Dental_calculus_human_18-19th_c.
ERR3003656.collapsed.65mer.bracken	Radcliffe-CS44	Dental_calculus_human_18-19th_c.
ERR3003657.collapsed.65mer.bracken	Radcliffe-CS45	Dental_calculus_human_18-19th_c.
ERR3003658.collapsed.65mer.bracken	Radcliffe-CS46	Dental_calculus_human_18-19th_c.
ERR3003659.collapsed.65mer.bracken	Radcliffe-CS47	Dental_calculus_human_18-19th_c.
ERR3003660.collapsed.65mer.bracken	Radcliffe-CS48	Dental_calculus_human_18-19th_c.
